date,open,high,low,close,volume
17/06/99,37.9369,38.2416,37.748,37.748,10200
18/06/99,36.8338,36.9435,36.7546,36.8338,8100
21/06/99,36.7973,36.8338,36.5657,36.6023,8300
22/06/99,37.0228,37.1751,37.0228,37.0228,6000
23/06/99,37.102,37.102,36.718,36.718,5200
24/06/99,37.1751,37.7114,37.1751,37.4798,8400
25/06/99,37.4798,37.7845,37.3275,37.3275,4100
28/06/99,37.7114,38.1624,37.7114,37.7114,16400
29/06/99,38.0161,38.394,38.0161,38.394,5700
30/06/99,38.5463,39.0034,38.5463,39.0034,23200
01/07/99,39.235,39.6128,39.1558,39.6128,38800
02/07/99,39.9907,40.3746,39.9907,40.3746,18700
06/07/99,39.0765,39.7286,39.0034,39.3081,139900
07/07/99,39.4605,39.4605,39.3081,39.3447,8600
08/07/99,39.4605,39.4605,39.04,39.1558,2900
09/07/99,39.7652,39.7652,39.0765,39.4605,6200
12/07/99,40.2223,40.2223,39.4605,39.686,13400
13/07/99,39.6128,39.6128,39.4605,39.4605,11000
14/07/99,40.3746,40.8317,40.3746,40.8317,33600
15/07/99,40.9475,41.0633,40.6793,41.0206,106500
16/07/99,40.527,40.8317,40.4538,40.8317,12300
19/07/99,41.1364,41.2522,40.7586,41.173,3700
20/07/99,40.8317,40.8317,40.4538,40.4538,6500
21/07/99,40.6001,41.1364,40.6001,40.6793,13300
22/07/99,40.1491,40.3746,39.9175,40.2223,29100
23/07/99,39.6128,40.0699,39.4605,40.0699,3000
26/07/99,39.686,39.9907,39.686,39.7652,3600
27/07/99,40.4904,41.2095,40.4904,41.2095,15500
